Item #,Ref Des,Full Name/Description,Category,Part/Catalog Number,Manufacturer/Supplier,Notes
,,,Controller,,,
,,,Sensor - Glass Heater,,,
,,,Actuator - Glass Heater,,,
,,,Sensor - Vial Heater,,,
,,,Actuator - Vial Heater,,,
,,,Sensor - Pipette Tip Heater,,,
,,,Actuator - Pipette Tip Heater,,,
